"Company","Year","Scope","Category","Value","Unit","Source File"
"Various Companies","Recent","Total","Energy","100","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","2.9","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","2.3","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","6.6","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","14.2","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","13.2","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","4","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2024","Total","General","65","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","11396","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2023","Total","General","3.5","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2023","Total","General","841","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","190","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","174","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","28","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","100","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","15","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","39000","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","52000","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","58000","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2024","Total","General","23","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2024","Total","General","1543","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","6","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","114","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","22649","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","6605","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","29254","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","14000","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","7278","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","21278","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","7976","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","1229","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","1363","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","1411","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","1.54","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2023","Total","General","196","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2022","Total","General","223","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","13529","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","3791","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","17320","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","15114","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","7434","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","22548","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","681","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2024","Total","General","186","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","159","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2023","Total","General","31","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","1356","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","41","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","2547","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","1419","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","261","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","268","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","149","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","2","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","5","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","10096","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","1300","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","90","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","17","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","1209","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","400","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","42","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","165","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","5234","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","16","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","280","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","32","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","33","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2024","Total","Direct Emissions","31","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","507","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","763","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","1250","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","Transportation","4234","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","Direct Emissions","2318","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","33.1","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","9384","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","10646","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2022","Total","General","50","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","31","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2024","Total","General","19.08","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2024","Total","Direct Emissions","20.71","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","45","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","423","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","13","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","10","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","436","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","410","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","2.2","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","351","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","22","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","295","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","39","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","5554","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","5800","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","252","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","27450","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","58","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","27508","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","8295","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","5286","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","13581","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","13927","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","995","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","2577","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","1275","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","3227","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","4130","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
